Country Name,Country Code,Classification Name,Classification Code,Series Name,Series Code,2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Bahrain,BHR,Purchasing power parity (PPP) (US$ = 1),PPPGlob,"1105000:FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",1105000,0.230691164731979,..,..,..,0.285530120134354,..,..
Bahrain,BHR,Purchasing power parity (PPP) (US$ = 1),PPPGlob,9020000:ACTUAL INDIVIDUAL CONSUMPTION,9020000,0.190740376710892,0.186044335365295,0.181575492024422,0.177844107151031,0.192142739892006,..,..
Bahrain,BHR,Purchasing power parity (PPP) (US$ = 1),PPPGlob,9080000:ACTUAL HEALTH,9080000,0.164668187499046,..,..,..,0.134496778249741,..,..
Bahrain,BHR,Purchasing power parity (PPP) (US$ = 1),PPPGlob,9280000:TOTAL CONSUMPTION,9280000,0.182581841945648,..,..,..,0.18370808660984,..,..
Bahrain,BHR,Purchasing power parity (PPP) (US$ = 1),PPPGlob,"9060000:ACTUAL HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",9060000,0.151259988546371,..,..,..,0.120839186012745,..,..
Bangladesh,BGD,Purchasing power parity (PPP) (US$ = 1),PPPGlob,"1105000:FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",1105000,42.0703926086426,..,..,..,37.7946014404297,..,..
Bangladesh,BGD,Purchasing power parity (PPP) (US$ = 1),PPPGlob,9020000:ACTUAL INDIVIDUAL CONSUMPTION,9020000,27.109827041626,27.3110485076904,27.3647403717041,27.0048599243164,26.8322620391846,..,..
Bangladesh,BGD,Purchasing power parity (PPP) (US$ = 1),PPPGlob,9080000:ACTUAL HEALTH,9080000,14.7591705322266,..,..,..,11.0088567733765,..,..
Bangladesh,BGD,Purchasing power parity (PPP) (US$ = 1),PPPGlob,9280000:TOTAL CONSUMPTION,9280000,27.0178318023682,..,..,..,26.5129623413086,..,..
Bangladesh,BGD,Purchasing power parity (PPP) (US$ = 1),PPPGlob,"9060000:ACTUAL HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",9060000,16.1824817657471,..,..,..,12.4164943695068,..,..
Barbados,BRB,Purchasing power parity (PPP) (US$ = 1),PPPGlob,"1105000:FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",1105000,2.72727346420288,..,..,..,..,..,..
Barbados,BRB,Purchasing power parity (PPP) (US$ = 1),PPPGlob,9020000:ACTUAL INDIVIDUAL CONSUMPTION,9020000,2.30085110664368,2.32215023040771,2.38755226135254,2.40992188453674,2.39293384552002,..,..
Barbados,BRB,Purchasing power parity (PPP) (US$ = 1),PPPGlob,9080000:ACTUAL HEALTH,9080000,1.3874100446701,..,..,..,..,..,..
Barbados,BRB,Purchasing power parity (PPP) (US$ = 1),PPPGlob,9280000:TOTAL CONSUMPTION,9280000,2.22007989883423,..,..,..,..,..,..
Barbados,BRB,Purchasing power parity (PPP) (US$ = 1),PPPGlob,"9060000:ACTUAL HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",9060000,2.0481538772583,..,..,..,..,..,..
Belarus,BLR,Purchasing power parity (PPP) (US$ = 1),PPPGlob,"1105000:FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",1105000,1.26138079166412,..,..,..,1.44455945491791,..,..
Belarus,BLR,Purchasing power parity (PPP) (US$ = 1),PPPGlob,9020000:ACTUAL INDIVIDUAL CONSUMPTION,9020000,0.521504342556,0.564426064491272,0.571263670921326,0.597423791885376,0.653911113739014,..,..
Belarus,BLR,Purchasing power parity (PPP) (US$ = 1),PPPGlob,9080000:ACTUAL HEALTH,9080000,0.259739816188812,..,..,..,0.304975569248199,..,..
